PostID,BodyLength
69,224
73,765
84,145
103,2087
106,42
107,115
143,2142
145,1897
147,1648
152,1036
156,519
162,614
165,260
166,474
167,555
169,748
170,233
174,1481
178,1175
179,167
181,214
184,175
185,246
186,144
187,72
188,424
189,420
190,572
194,433
195,230
199,76
209,184
213,466
215,1117
217,369
228,400
229,309
230,370
232,1133
238,91
241,251
246,843
250,99
257,78
260,222
263,350
265,228
272,899
275,536
276,989
277,292
283,718
284,241
287,1795
290,127
293,539
295,540
300,193
304,410
306,298
308,217
310,619
311,545
313,152
319,646
331,145
333,82
334,366
336,887
341,248
343,209
344,61
351,169
352,2618
360,313
367,102
369,150
371,853
372,449
373,431
374,309
378,202
379,1712
384,653
391,1037
396,1246
399,1641
400,182
405,343
406,489
408,894
409,234
411,584
415,4214
423,299
435,334
436,306
438,351
446,953
449,155
452,74
455,376
457,1552
459,1212
461,707
463,7406
478,112
481,257
496,461
498,100
501,98
509,755
510,160
1507,77
1510,262
1519,150
1523,448
1527,2087
1530,185
1531,387
1534,406
1538,543
1540,84
1543,80
1548,483
1549,382
1552,120
1555,1067
1557,96
1566,647
1577,506
1578,698
1580,276
1581,223
1587,272
1588,451
1589,3195
1593,1089
1594,411
1597,207
1598,606
1602,355
1605,1092
1606,916
1611,113
1613,452
1614,735
1617,167
1622,326
1623,122
1629,123
1636,538
1638,504
1639,123
1655,221
1661,472
1664,373
1671,94
1678,358
1680,448
1685,264
1692,136
1693,1053
1702,257
1703,1016
1705,471
1706,135
1707,870
1709,240
1710,149
1714,234
1719,333
1720,149
1722,128
1724,151
1728,180
1729,252
1730,198
1732,626
1733,232
1738,281
1739,278
1741,181
1743,849
1745,267
1746,455
1748,91
1750,517
1758,586
1760,342
1768,66
1774,1114
1784,116
1787,107
1788,497
1797,360
1800,104
1810,952
1817,624
1825,251
1827,269
1829,802
1833,244
1836,299
1841,600
1845,231
1849,376
1853,909
1854,335
1859,1105
1861,413
1863,136
1869,111
1874,393
1875,522
1876,312
1880,189
1881,2568
1884,2737
1894,1025
1897,1221
1909,190
1911,526
1912,473
1913,61
1914,201
1917,497
1920,134
1923,282
1927,474
1932,192
1935,339
1938,1874
1946,3157
1947,2169
1954,375
1955,1010
1956,366
1961,321
1964,226
1969,392
1976,311
1977,1296
1980,227
1987,600
1990,162
2000,469
2001,417
2002,394
2008,184
2018,412
2021,2359
2023,23384
2026,112
2032,1871
2038,443
2046,212
2048,734
2051,250
2053,458
2055,570
2062,1559
2065,569
2071,228
2072,362
2080,427
2082,367
2088,789
2089,3469
2090,246
2092,796
2096,855
2097,268
2099,270
2102,558
2109,492
2110,1500
2113,372
2118,1059
2119,598
2123,204
2125,442
2126,702
2129,639
2133,1009
2134,694
2137,727
2139,160
2142,443
2149,1269
2150,1575
2152,527
2156,382
2157,930
2158,322
2161,115
2165,207
2167,528
2170,130
2173,560
2176,490
2177,2103
2178,1433
2190,736
2197,4993
2208,590
2209,921
2210,205
2211,2861
2219,652
2220,445
2230,341
2235,241
2236,4995
2240,235
2242,612
2246,619
2252,311
2255,507
2256,260
2257,478
2272,1375
2303,1076
2304,251
2305,677
2307,748
2309,1028
2319,1587
2321,581
2322,1748
2324,2724
2331,687
2336,714
2342,1106
2343,1937
2345,2667
2350,1095
2351,1196
2353,1105
2364,1947
2368,1067
2372,108
2373,1011
2378,92
2379,542
2382,623
2384,2559
2386,351
2388,128
2389,710
2393,264
2394,931
2396,237
2399,2658
2402,503
2406,300
2408,910
2410,226
2415,108
2417,1817
2421,3054
2424,285
2430,742
2431,1561
2433,234
2435,1058
2438,3596
2439,829
2440,269
2441,24387
2443,739
2445,695
2446,208
2447,582
2449,178
2457,294
2459,225
2461,432
2472,597
2473,232
2475,789
2481,1959
2484,711
2485,268
2488,304
2492,328
2494,394
2502,92
2504,1148
2511,239
2512,161
2521,350
2522,213
2524,573
2527,382
2531,388
2536,110
2541,881
2542,257
2543,220
2544,444
2545,712
2546,344
2548,388
2549,117
2553,126
2555,970
2559,220
2562,762
2564,390
2566,375
2569,684
2572,1727
2576,204
2577,210
2582,426
2586,458
2593,548
2599,352
2603,604
2609,1278
2610,109
2614,664
2618,348
2622,486
2624,962
2628,264
2636,299
2640,601
2641,81
2657,726
2665,403
2666,932
2667,520
2669,629
2671,152
2673,4490
2675,736
2681,49
2683,519
2684,575
2685,4416
2686,859
2693,1302
2694,1618
2701,560
2702,751
2703,1728
2704,182
2706,1285
2707,494
2708,718
2717,426
2718,791
2720,362
2721,1133
2724,502
2725,96
2730,372
2738,514
