PostId,title_length,body_length,num_subs_ans,percent_subs_ans,num_subs_t,percent_subs_t,popular_tag,avg_popularity,response_time,label
69,36,224,29.0,0.07692307692307693,59.0,0.15649867374005305,1,1065.0,4.3,1.0
73,34,765,2.0,0.03125,9.0,0.140625,1,122.0,119.01666666666667,1.0
84,30,145,4.0,0.04938271604938271,15.0,0.18518518518518517,1,250.0,725.3833333333333,0.0
103,27,2087,21.0,0.05585106382978723,43.0,0.11436170212765957,1,1144.0,0.0,1.0
106,23,42,25.0,0.053418803418803416,57.0,0.12179487179487179,1,1408.0,206.91666666666666,0.0
107,39,115,57.0,0.07883817427385892,78.0,0.1078838174273859,1,3653.0,15.316666666666666,1.0
143,47,2142,11.5,0.03564519195285329,32.5,0.11090547174664236,2,998.0,975.7666666666667,0.0
145,52,1897,18.0,0.025604551920341393,31.666666666666668,0.13675407864004355,3,841.6666666666666,733.7166666666667,0.0
147,49,1648,0.0,0.0,1.5,0.75,0,4.0,0.0,1.0
152,23,1036,0.0,0.0,3.5,0.3020833333333333,1,27.0,0.0,1.0
156,33,519,0.0,0.0,2.0,0.15384615384615385,0,16.0,0.0,1.0
162,34,614,1.0,0.019230769230769232,17.0,0.3269230769230769,1,58.0,20.95,1.0
165,34,260,0.0,0.0,9.0,0.2647058823529412,1,35.0,136.08333333333334,1.0
166,37,474,10.5,0.027925531914893616,27.0,0.1058534174355112,2,661.0,964.1666666666666,0.0
167,19,555,0.0,0.0,9.0,0.21151716500553708,2,28.0,179.85,1.0
169,21,748,0.3333333333333333,0.0045045045045045045,9.333333333333334,0.18605648838206976,3,65.33333333333333,232.1,0.0
170,37,233,9.5,0.06274509803921569,29.0,0.09477124183006536,2,387.5,434.85,0.0
174,50,1481,0.0,0.0,5.0,0.07352941176470588,1,92.0,333.55,0.0
178,18,1175,27.666666666666668,0.04625982257561204,53.0,0.09301001406264564,2,1281.3333333333333,717.2166666666667,0.0
179,42,167,41.5,0.07686836634205055,72.0,0.13870452890416593,2,1755.0,328.43333333333334,0.0
181,26,214,10.0,0.08130081300813008,37.0,0.3008130081300813,1,216.0,166.21666666666667,1.0
184,50,175,12.0,0.046596015260703685,31.0,0.11671047053836373,2,1102.0,677.0,0.0
185,12,246,8.0,0.034782608695652174,26.0,0.17894736842105263,2,303.0,96.66666666666667,1.0
186,35,144,10.333333333333334,0.04152738835018512,30.666666666666668,0.12265002968626341,3,974.0,711.8833333333333,0.0
187,20,72,7.666666666666667,0.026289293112089884,25.333333333333332,0.12345203469879473,3,828.6666666666666,728.8333333333334,0.0
188,28,424,22.0,0.06079474732387354,45.333333333333336,0.13359826341496914,3,988.3333333333334,161.9,1.0
189,31,420,28.5,0.07244212098581031,51.5,0.13164739512245371,2,1213.5,90.43333333333334,1.0
190,36,572,5.0,0.029411764705882353,34.0,0.2,1,311.0,171.86666666666667,1.0
194,58,433,1.0,0.015625,4.5,0.0703125,1,67.5,1313.5333333333333,0.0
195,49,230,28.5,0.05788734736103157,48.0,0.13188376346271083,2,1309.5,1345.3,0.0
199,16,76,29.0,0.06196581196581197,74.0,0.1581196581196581,1,1397.0,67.63333333333334,1.0
