PostID,NumPopularTags
2088,2
4821,1
5925,2
6194,1
6613,1
7273,2
9586,2
10351,2
10436,1
11078,3
11563,1
11888,1
12529,2
14204,4
14887,1
16250,2
16974,1
17401,1
17686,3
18314,1
18556,2
18574,1
18992,1
19095,1
20219,2
21249,3
21259,1
21894,1
22121,2
22254,1
22596,1
23459,1
23843,1
24114,2
24504,4
25032,3
27264,1
27884,1
28316,2
28503,1
28839,2
29865,1
30002,2
31039,1
31118,1
31518,3
33174,2
33665,2
33783,1
35004,2
35350,2
35444,1
35670,1
35844,1
38433,1
38672,1
39103,1
39458,3
39917,1
41105,1
41374,2
42370,2
45300,2
46870,1
47092,2
48078,1
48358,2
48402,4
49003,1
49755,2
50254,2
52206,1
52800,1
52991,1
53616,3
55089,2
55321,1
55445,3
55498,2
56315,1
56527,2
57215,2
57464,3
59169,1
59370,2
59652,2
59891,2
60081,2
60132,1
60351,1
60733,3
60897,3
61304,1
62481,1
63697,5
63738,3
65548,3
66119,1
66616,3
67074,1
68171,2
68794,2
70078,2
70822,3
71047,3
71627,2
72194,1
72553,2
75007,1
76056,2
76321,2
77339,3
78073,1
82208,1
2110,1
2393,1
2756,1
5067,2
5149,1
5657,1
6366,1
6797,1
7362,2
7743,2
7994,1
8965,1
9630,1
9975,1
10272,1
10309,1
10338,1
10603,1
11205,1
11236,2
11247,2
15052,1
16549,2
16639,2
17757,2
17866,2
19582,2
19665,3
19990,1
21453,2
21515,1
21711,1
23113,1
26686,2
27125,1
27339,2
27429,1
27492,1
27752,1
28183,2
28288,1
28463,1
29055,2
29978,3
32529,1
32660,4
32939,1
32943,4
34404,1
34829,1
35095,1
35771,1
36782,2
37796,1
38203,3
38318,2
38900,1
40079,2
40866,1
41256,2
41262,1
41280,1
41983,4
28524,2
34347,2
42507,4
43341,2
44966,1
47877,3
50277,2
50800,1
50832,1
51256,2
51446,1
52408,1
52571,1
53023,2
53679,5
54729,2
55807,1
56199,2
56716,1
59431,1
59680,1
59975,1
60491,3
61675,4
61851,1
63126,1
63392,1
63566,2
65298,3
65631,1
65979,1
66423,1
66915,1
68341,2
69196,2
70345,2
70758,2
72069,3
72175,1
72526,2
72621,3
73414,2
73469,4
74217,3
74252,2
74363,1
74613,4
74745,1
74988,1
75339,2
75936,1
77786,1
78022,1
72314,2
2725,2
2898,1
3200,1
6081,2
6848,1
6900,1
7056,2
7263,1
7301,2
8621,1
8832,2
10114,1
10784,1
10801,2
11106,1
11351,1
11667,1
11687,1
12003,2
12104,1
12750,2
13107,2
14552,1
15041,4
16303,1
16340,1
16413,1
17024,5
17275,1
17741,2
18570,2
18921,1
19051,2
19822,2
5316,1
12164,1
23054,1
23565,3
23666,1
23889,2
23949,2
24285,1
24905,2
26576,2
26637,2
26705,1
27020,1
27274,1
27775,1
27841,2
28148,1
29301,3
29401,1
30088,1
31217,2
31477,3
32052,2
33284,2
33500,2
33707,1
34057,3
34362,2
34602,3
35349,1
35659,1
35796,2
35973,1
36021,2
36260,1
37228,1
37591,1
38084,2
38623,1
38875,2
39149,1
39166,2
40242,2
41445,1
42917,1
43999,1
44261,1
44777,2
45196,2
46763,2
47340,2
48664,3
48991,3
49192,2
49289,2
50146,2
50416,1
51228,1
51634,1
53223,1
56656,1
56829,1
57069,1
57489,2
57689,4
59197,2
60839,2
62116,1
62353,2
62405,1
62580,2
62629,2
63382,2
63479,2
63595,1
63897,1
64072,1
65654,2
66837,2
67044,2
68632,1
69555,2
69594,2
69653,2
70157,2
70182,1
70256,1
70849,2
70862,2
71194,2
71404,1
72064,3
72836,1
73036,2
73043,1
73588,1
74415,4
74703,2
75271,1
76320,1
77576,2
80585,1
80768,2
80777,1
81125,1
81149,3
82196,1
2888,1
2930,1
4988,2
5082,1
6143,1
6227,1
7054,1
8258,1
9544,1
9622,1
10296,1
10831,2
10993,2
12067,1
12223,3
12608,1
12710,2
13133,2
14439,2
14697,1
16253,3
16683,2
17545,2
17584,1
17718,1
17947,1
18564,2
19239,1
19496,1
21086,3
21683,1
22107,1
22431,1
22893,2
22920,1
23156,2
25385,1
26541,1
26988,3
27701,3
27767,2
27967,2
28056,1
28738,2
28970,2
29241,1
29431,2
30557,1
31205,2
31391,1
32481,2
33120,2
34075,2
34316,1
34400,2
35299,2
35620,2
40099,1
41153,3
43785,1
43831,1
44199,2
44475,2
45518,3
47342,2
48686,2
49147,2
50989,1
51330,1
51667,1
52636,1
53000,1
53626,3
53752,3
54077,1
54376,1
54477,3
54560,1
54580,3
54759,2
54979,2
55120,2
56080,1
56121,1
56685,3
56846,1
57273,2
57379,3
59122,1
60661,1
61029,1
61505,3
61555,1
53698,2
62754,2
63241,1
63913,1
66062,1
66610,2
66970,2
67021,3
67483,3
67772,1
67813,2
68216,2
69070,1
69844,1
70593,2
71365,3
72110,1
72153,3
72185,2
72253,1
73394,1
73593,1
74346,2
74405,3
74935,2
75158,1
75314,1
75763,1
76100,1
77650,1
80512,3
80754,1
82177,2
1897,1
2161,2
3167,1
4464,2
5048,1
5450,1
5986,2
7316,2
7544,1
8502,1
8701,1
10417,1
10668,1
11795,2
11992,2
12860,1
13180,1
17099,1
17168,3
17274,2
17481,2
17917,2
18351,1
18768,1
18905,1
19253,4
20098,1
20183,2
21714,1
22043,2
22831,1
23343,1
23959,1
24521,1
24758,3
27025,1
